SeccionNombreCompleto,Zonificacion,Clasificacion,DensidadPoblacion,SeccionNro,SeccionNombre,RacioCensal,Poblacion,Hogares,Desocupados,Edad 0 a 14,Edad mayor 65,InicialCompleto,PrimarioCompleto,EGBCompleto,SecundarioCompleto,PolimodalCompleto,SuperiorCompleto,UniversitarioCompleto,PostgradoCompleto,LeeEscribe,NoLeeEscribe,Hacinamiento,RedAguaNO,CloacaNO,PVNum,PVNom,Direccion,x_wgs,y_wgs,id,fid,Densidad comercial
6ta Seccion Residencial Norte,Residencial urbano,Urbano,72185,6,Residencial Norte,500071107,770,257,15,143,149,26,168,34,212,33,72,178,7,712,27,2,0,4,,,,-6.884.384,-3.286.479,"-68,84384-32,86479",812,1.166.755
8va Seccion Aeroparque,Residencial urbano,Urbano,121811,8,Aeroparque,500071006,1614,413,102,498,122,56,491,388,294,110,36,40,2,1374,142,34,0,4,,,,-6.886.363,-3.286.486,"-68,86363-32,86486",855,150.663
11ra Seccion San Agustin,Residencial de uso controlado,Interfaz,2279,11,San Agustin,500071309,1365,333,52,507,29,73,552,116,278,74,40,23,1,1101,149,27,72,131,,,,-6.889.405,-3.289.816,"-68,89405-32,89816",2519,0
6ta Seccion Residencial Norte,Residencial urbano,Urbano,77496,6,Residencial Norte,500071112,510,174,17,76,90,12,51,14,110,20,59,212,7,478,16,0,0,1,,,,-688.566,-3.286.487,"-68,8566-32,86487",877,91.905
9na Seccion Parque Gral. San Martin,Especial Parque Gral. San Marti­n,Especial,2279,9,Parque Gral. San Martin,500071309,1365,333,52,507,29,73,552,116,278,74,40,23,1,1101,149,27,72,131,,,,-6.887.569,-3.288.645,"-68,87569-32,88645",9371,0
,Residencial urbano,Urbano,72735,4,Cuarta Oeste,500070705,656,248,32,103,125,13,120,35,189,22,69,170,9,617,19,0,1,3,,,,-6.884.004,-3.286.511,"-68,84004-32,86511",951,9.4472
10ma Seccion Residencial Los Cerros,Residencial suburbano,Interfaz,,10,Residencial Los Cerros,500491106,723,199,8,174,67,34,164,48,157,27,70,177,9,661,40,3,59,120,,,,-6.889.021,-3.286.517,"-68,89021-32,86517",961,0
9na Seccion Parque Gral. San Martin,Especial Parque Gral. San Marti­n,Especial,2279,9,Parque Gral. San Martin,500071309,1365,333,52,507,29,73,552,116,278,74,40,23,1,1101,149,27,72,131,,,,-6.889.607,-3.289.038,"-68,89607-32,89038",10536,0
9na Seccion Parque Gral. San Martin,Especial Parque Gral. San Marti­n,Especial,2279,9,Parque Gral. San Martin,500071309,1365,333,52,507,29,73,552,116,278,74,40,23,1,1101,149,27,72,131,,,,-6.889.606,-3.289.039,"-68,89606-32,89039",10537,0
9na Seccion Parque Gral. San Martin,Especial Parque Gral. San Marti­n,Especial,2279,9,Parque Gral. San Martin,500071309,1365,333,52,507,29,73,552,116,278,74,40,23,1,1101,149,27,72,131,,,,-6.889.595,-3.289.046,"-68,89595-32,89046",10572,0
9na Seccion Parque Gral. San Martin,Especial Parque Gral. San Marti­n,Especial,2279,9,Parque Gral. San Martin,500071309,1365,333,52,507,29,73,552,116,278,74,40,23,1,1101,149,27,72,131,,,,-6.889.533,-3.289.035,"-68,89533-32,89035",10575,0
8va Seccion Aeroparque,Residencial urbano,Urbano,,8,Aeroparque,500491109,668,196,15,212,35,46,88,49,88,26,73,196,38,562,62,2,38,87,,,,-6.888.007,-3.286.528,"-68,88007-32,86528",987,382.649
10ma Seccion Residencial Los Cerros,Residencial suburbano,Interfaz,837,10,Residencial Los Cerros,500071001,1179,326,30,213,85,43,95,94,138,71,86,549,67,1106,41,0,71,11,,,,-6.889.019,-3.286.532,"-68,89019-32,86532",1015,0
9na Seccion Parque Gral. San Martin,Especial Parque Gral. San Marti­n,Especial,2279,9,Parque Gral. San Martin,500071309,1365,333,52,507,29,73,552,116,278,74,40,23,1,1101,149,27,72,131,,,,-6.888.636,-328.833,"-68,88636-32,8833",8458,0
9na Seccion Parque Gral. San Martin,Especial Parque Gral. San Marti­n,Especial,2279,9,Parque Gral. San Martin,500071309,1365,333,52,507,29,73,552,116,278,74,40,23,1,1101,149,27,72,131,,,,-6.887.327,-3.288.455,"-68,87327-32,88455",8720,0
8va Seccion Aeroparque,Residencial urbano,Urbano,121811,8,Aeroparque,500071006,1614,413,102,498,122,56,491,388,294,110,36,40,2,1374,142,34,0,4,,,,-6.886.443,-3.286.538,"-68,86443-32,86538",1041,864.938
9na Seccion Parque Gral. San Martin,Especial Parque Gral. San Marti­n,Especial,2279,9,Parque Gral. San Martin,500071309,1365,333,52,507,29,73,552,116,278,74,40,23,1,1101,149,27,72,131,,,,-6.887.665,-3.289.174,"-68,87665-32,89174",11057,0
9na Seccion Parque Gral. San Martin,Especial Parque Gral. San Marti­n,Especial,2279,9,Parque Gral. San Martin,500071309,1365,333,52,507,29,73,552,116,278,74,40,23,1,1101,149,27,72,131,,,,-6.888.353,-3.289.143,"-68,88353-32,89143",10922,0
10ma Seccion Residencial Los Cerros,Residencial suburbano,Interfaz,29117,10,Residencial Los Cerros,500071019,1190,351,23,208,113,43,76,103,141,61,93,576,66,1120,44,0,66,3,,,,-6.888.456,-3.286.543,"-68,88456-32,86543",1084,51.681
,,,29117,,,500071019,1190,351,23,208,113,43,76,103,141,61,93,576,66,1120,44,0,66,3,,,,-6.888.371,-3.286.524,"-68,88371-32,86524",1086,66.514
9na Seccion Parque Gral. San Martin,Especial Parque Gral. San Marti­n,Especial,2279,9,Parque Gral. San Martin,500071309,1365,333,52,507,29,73,552,116,278,74,40,23,1,1101,149,27,72,131,,,,-6.889.036,-3.289.204,"-68,89036-32,89204",11214,0
